0.76,-0.25092,-0.0026299,-0.012831,-0.068396,-0.17392
0.77,-0.25092,-0.0027582,-0.013231,-0.070136,-0.17577
0.78,-0.25092,-0.0028905,-0.013635,-0.071893,-0.1776
0.79,-0.25092,-0.0030269,-0.014041,-0.073669,-0.17942
0.8,-0.25092,-0.0031673,-0.014451,-0.075463,-0.18122
0.81,-0.25092,-0.0033118,-0.014864,-0.077276,-0.18301
0.82,-0.25092,-0.0034605,-0.015279,-0.079106,-0.18478
0.83,-0.25092,-0.0036132,-0.015696,-0.080954,-0.18653
0.84,-0.25092,-0.0037702,-0.016115,-0.082819,-0.18827
0.85,-0.25092,-0.0039314,-0.016537,-0.084702,-0.18999
0.86,-0.25092,-0.0040967,-0.016959,-0.086602,-0.19169
0.87,-0.25092,-0.0042663,-0.017383,-0.088518,-0.19337
0.88,-0.25092,-0.0044401,-0.017807,-0.090452,-0.19504
0.89,-0.25092,-0.0046182,-0.018232,-0.092403,-0.19669
0.9,-0.25092,-0.0048005,-0.018657,-0.094369,-0.19832
0.91,-0.25092,-0.0049871,-0.019082,-0.096353,-0.19993
0.92,-0.25092,-0.0051779,-0.019507,-0.098352,-0.20153
0.93,-0.25092,-0.005373,-0.019932,-0.10037,-0.20311
0.94,-0.25092,-0.0055723,-0.020355,-0.1024,-0.20467
0.95,-0.25092,-0.0057759,-0.020777,-0.10445,-0.20621
0.96,-0.25092,-0.0059836,-0.021198,-0.10651,-0.20773
0.97,-0.25092,-0.0061956,-0.021617,-0.10858,-0.20923
0.98,-0.25092,-0.0064118,-0.022033,-0.11068,-0.21072
0.99,-0.25092,-0.0066321,-0.022448,-0.11278,-0.21219
1,-0.25092,-0.0068566,-0.022859,-0.11491,-0.21363
1.01,-0.25092,-0.0070852,-0.023268,-0.11704,-0.21506
1.02,-0.25092,-0.0073179,-0.023673,-0.11919,-0.21647
1.03,-0.25092,-0.0075546,-0.024075,-0.12136,-0.21786
1.04,-0.25092,-0.0077953,-0.024472,-0.12354,-0.21923
1.05,-0.25092,-0.0080401,-0.024866,-0.12573,-0.22058
1.06,-0.25092,-0.0082887,-0.025255,-0.12793,-0.22192
1.07,-0.25092,-0.0085413,-0.025639,-0.13015,-0.22323
1.08,-0.25092,-0.0087977,-0.026018,-0.13239,-0.22452
1.09,-0.25092,-0.0090578,-0.026392,-0.13463,-0.2258
1.1,-0.25092,-0.0093218,-0.02676,-0.13689,-0.22705
1.11,-0.25092,-0.0095894,-0.027122,-0.13916,-0.22828
1.12,-0.25092,-0.0098606,-0.027478,-0.14144,-0.2295
1.13,-0.25092,-0.010135,-0.027827,-0.14374,-0.23069
1.14,-0.25092,-0.010414,-0.02817,-0.14604,-0.23186
1.15,-0.25092,-0.010695,-0.028506,-0.14836,-0.23302
1.16,-0.25092,-0.01098,-0.028835,-0.15069,-0.23415
1.17,-0.25092,-0.011269,-0.029156,-0.15303,-0.23526
1.18,-0.25092,-0.01156,-0.029469,-0.15539,-0.23635
1.19,-0.25092,-0.011855,-0.029774,-0.15775,-0.23742
1.2,-0.25092,-0.012153,-0.030072,-0.16012,-0.23847
1.21,-0.25092,-0.012453,-0.03036,-0.16251,-0.2395
1.22,-0.25092,-0.012757,-0.030641,-0.1649,-0.24051
1.23,-0.25092,-0.013063,-0.030912,-0.16731,-0.2415
1.24,-0.25092,-0.013373,-0.031174,-0.16972,-0.24247
1.25,-0.25092,-0.013684,-0.031427,-0.17215,-0.24341
1.26,-0.25092,-0.013999,-0.031671,-0.17458,-0.24434
1.27,-0.25092,-0.014315,-0.031905,-0.17703,-0.24524
1.28,-0.25092,-0.014634,-0.032129,-0.17948,-0.24612
1.29,-0.25092,-0.014956,-0.032343,-0.18194,-0.24698
1.3,-0.25092,-0.015279,-0.032548,-0.18441,-0.24782
1.31,-0.25092,-0.015605,-0.032742,-0.18689,-0.24864
1.32,-0.25092,-0.015932,-0.032925,-0.18937,-0.24944
1.33,-0.25092,-0.016261,-0.033098,-0.19187,-0.25021
1.34,-0.25092,-0.016592,-0.033261,-0.19437,-0.25096
1.35,-0.25092,-0.016925,-0.033413,-0.19688,-0.2517
1.36,-0.25092,-0.017259,-0.033554,-0.1994,-0.25241
1.37,-0.25092,-0.017594,-0.033684,-0.20192,-0.25309
1.38,-0.25092,-0.017931,-0.033803,-0.20445,-0.25376
1.39,-0.25092,-0.018269,-0.033911,-0.20699,-0.2544
1.4,-0.25092,-0.018608,-0.034008,-0.20953,-0.25502
1.41,-0.25092,-0.018949,-0.034094,-0.21208,-0.25562
1.42,-0.25092,-0.019289,-0.034168,-0.21464,-0.2562
1.43,-0.25092,-0.019631,-0.034232,-0.2172,-0.25676
1.44,-0.25092,-0.019973,-0.034284,-0.21977,-0.25729
1.45,-0.25092,-0.020316,-0.034324,-0.22234,-0.2578
1.46,-0.25092,-0.02066,-0.034354,-0.22492,-0.25829
1.47,-0.25092,-0.021003,-0.034372,-0.2275,-0.25876
1.48,-0.25092,-0.021347,-0.034379,-0.23009,-0.2592
1.49,-0.25092,-0.021691,-0.034374,-0.23268,-0.25962
1.5,-0.25092,-0.022034,-0.034359,-0.23528,-0.26002
1.51,-0.25092,-0.022378,-0.034332,-0.23788,-0.2604
1.52,-0.25092,-0.022721,-0.034294,-0.24048,-0.26075
1.53,-0.25092,-0.023064,-0.034245,-0.24309,-0.26109
1.54,-0.25092,-0.023407,-0.034185,-0.2457,-0.2614
1.55,-0.25092,-0.023748,-0.034115,-0.24832,-0.26168
1.56,-0.25092,-0.02409,-0.034033,-0.25093,-0.26194
1.57,-0.25092,-0.02443,-0.033941,-0.25355,-0.26219
1.58,-0.25092,-0.024769,-0.033839,-0.25618,-0.2624
1.59,-0.25092,-0.025108,-0.033725,-0.2588,-0.2626
1.6,-0.25092,-0.025445,-0.033602,-0.26143,-0.26277
1.61,-0.25092,-0.025781,-0.033469,-0.26405,-0.26292
1.62,-0.25092,-0.026116,-0.033325,-0.26668,-0.26305
1.63,-0.25092,-0.026449,-0.033172,-0.26931,-0.26315
1.64,-0.25092,-0.026781,-0.033009,-0.27194,-0.26323
1.65,-0.25092,-0.027111,-0.032836,-0.27458,-0.26329
1.66,-0.25092,-0.027439,-0.032654,-0.27721,-0.26332
1.67,-0.25092,-0.027766,-0.032463,-0.27984,-0.26333
1.68,-0.25092,-0.02809,-0.032263,-0.28248,-0.26332
1.69,-0.25092,-0.028413,-0.032055,-0.28511,-0.26329
1.7,-0.25092,-0.028733,-0.031837,-0.28774,-0.26323
1.71,-0.25092,-0.029052,-0.031612,-0.29037,-0.26315
1.72,-0.25092,-0.029368,-0.031379,-0.29301,-0.26305
1.73,-0.25092,-0.029682,-0.031137,-0.29564,-0.26292
1.74,-0.25092,-0.029993,-0.030888,-0.29827,-0.26277
1.75,-0.25092,-0.030302,-0.030632,-0.30089,-0.26259
1.76,-0.25092,-0.030608,-0.030369,-0.30352,-0.2624
1.77,-0.25092,-0.030912,-0.030099,-0.30614,-0.26218
1.78,-0.25092,-0.031213,-0.029822,-0.30876,-0.26193
1.79,-0.25092,-0.031511,-0.02954,-0.31138,-0.26167
1.8,-0.25092,-0.031807,-0.029251,-0.314,-0.26138
1.81,-0.25092,-0.032099,-0.028956,-0.31661,-0.26107
1.82,-0.25092,-0.032389,-0.028656,-0.31923,-0.26073
1.83,-0.25092,-0.032675,-0.028351,-0.32183,-0.26037
1.84,-0.25092,-0.032959,-0.028041,-0.32444,-0.25999
1.85,-0.25092,-0.033239,-0.027726,-0.32704,-0.25958
1.86,-0.25092,-0.033516,-0.027407,-0.32963,-0.25915
1.87,-0.25092,-0.033791,-0.027085,-0.33222,-0.2587
1.88,-0.25092,-0.034061,-0.026758,-0.33481,-0.25823
1.89,-0.25092,-0.034329,-0.026428,-0.33739,-0.25773
1.9,-0.25092,-0.034593,-0.026095,-0.33997,-0.25721
1.91,-0.25092,-0.034854,-0.025759,-0.34254,-0.25666
